"PLANT","DTSTART","DTEND","NDELAYCODE","DELAYCOMMENT","COILID1","DTSTORE"
3,"13.09.16 14:46","13.09.16 14:52",0,,,"13.09.16 14:57"
2,"13.09.16 14:52","13.09.16 15:03",0,,,"13.09.16 15:08"
2,"14.09.16 09:19","14.09.16 09:41",0,,,"14.09.16 09:46"
3,"14.09.16 09:07","14.09.16 09:19",0,,,"14.09.16 09:24"
2,"14.09.16 11:28","14.09.16 11:41",0,,,"14.09.16 11:46"
1,"15.09.16 12:47","15.09.16 13:46",0,,,"15.09.16 13:51"
1,"14.09.16 12:08","14.09.16 12:15",0,,,"14.09.16 12:20"
1,"14.09.16 13:08","14.09.16 13:29",0,,,"14.09.16 13:34"
1,"14.09.16 14:28","14.09.16 15:03",0,,,"14.09.16 15:08"
1,"15.09.16 13:52","15.09.16 14:06",0,,,"15.09.16 14:12"
3,"16.09.16 10:48","16.09.16 11:30",0,,,"16.09.16 11:35"
2,"16.09.16 11:30","16.09.16 11:42",0,,,"16.09.16 11:47"
3,"16.09.16 11:42","16.09.16 11:55",0,,,"16.09.16 12:00"
2,"16.09.16 11:55","16.09.16 12:09",0,,,"16.09.16 12:14"
3,"16.09.16 12:09","16.09.16 12:18",0,,,"16.09.16 12:23"
1,"16.09.16 13:04","16.09.16 13:42",0,,,"16.09.16 13:47"
1,"16.09.16 12:41","16.09.16 12:56",0,,,"16.09.16 13:01"
3,"19.09.16 09:37","19.09.16 10:40",0,,,"19.09.16 10:45"
2,"19.09.16 08:21","19.09.16 08:27",0,,,"19.09.16 08:32"
2,"19.09.16 10:40","19.09.16 10:46",0,,,"19.09.16 10:51"
1,"22.09.16 11:36","22.09.16 11:50",0,,,"22.09.16 11:55"
1,"21.09.16 11:21","21.09.16 11:35",0,,,"21.09.16 11:40"
2,"22.09.16 05:58","22.09.16 06:04",0,,,"22.09.16 06:09"
3,"22.09.16 11:59","22.09.16 12:27",0,,,"22.09.16 12:32"
2,"22.09.16 12:27","22.09.16 12:35",0,,,"22.09.16 12:40"
1,"22.09.16 15:25","22.09.16 15:36",0,,,"22.09.16 15:41"
2,"27.09.16 07:01","27.09.16 07:12",0,,,"27.09.16 07:12"
2,"27.09.16 07:14","27.09.16 07:37",0,,,"27.09.16 07:37"
1,"27.09.16 07:57","27.09.16 07:53",0,,,"27.09.16 07:58"
1,"27.09.16 08:02","27.09.16 08:08",0,,,"27.09.16 08:07"
3,"27.09.16 11:43","27.09.16 11:58",0,,,"27.09.16 11:58"
2,"27.09.16 08:10","27.09.16 09:24",0,,,"27.09.16 09:24"
3,"27.09.16 09:24","27.09.16 11:07",0,,,"27.09.16 11:07"
1,"27.09.16 11:07","27.09.16 11:09",0,,,"27.09.16 11:14"
1,"27.09.16 11:42","27.09.16 11:43",0,,,"27.09.16 11:48"
3,"27.09.16 12:12","27.09.16 14:34",0,,,"27.09.16 14:34"
1,"27.09.16 11:58","27.09.16 11:54",0,,,"27.09.16 11:59"
3,"30.09.16 13:33","30.09.16 13:45",0,,,"30.09.16 13:45"
2,"30.09.16 14:15","30.09.16 14:23",0,,,"30.09.16 14:28"
1,"30.09.16 13:45","30.09.16 13:46",0,,,"30.09.16 13:51"
3,"30.09.16 14:23","04.10.16 07:06",0,,,"04.10.16 07:06"
1,"04.10.16 07:06","04.10.16 07:17",0,,,"04.10.16 07:22"
2,"05.09.16 08:55","05.09.16 08:58",0,,,"05.09.16 09:03"
3,"05.09.16 08:58","05.09.16 09:13",0,,,"05.09.16 09:13"
2,"04.10.16 07:50","04.10.16 07:53",0,,,"04.10.16 07:58"
1,"05.09.16 09:13","05.09.16 09:13",0,,,"05.09.16 09:18"
3,"05.09.16 09:13","05.09.16 11:41",0,,,"05.09.16 11:46"
3,"04.10.16 07:53","04.10.16 08:28",0,,,"04.10.16 08:28"
1,"04.10.16 08:28","04.10.16 08:29",0,,,"04.10.16 08:35"
