"COILIDOUT","COILIDIN","ALLOYCODE","ENTRYTHICK","EXITTHICK","ENTRYWIDTH","ENTRYDIAMPDI","EXITWEIGHTMEAS","DTSTARTROLL","DTDEPARTURE","DTENDROLLING","LENGTHPHASEEXIT","LENGTHTHICKTOL"
"1800073800B100","1800073800Y100",SPCC,3,0.7,1285,1801,20064.6799747088,"30.03.18 11:59","30.03.18 13:45","03.30.18 12:18",2510.32568359375,2.55390167236328
"1800082400B100","1800082400Y100",SPCC,3.5,0.75,1285,1822,20541.4600744679,"30.03.18 12:17","30.03.18 13:58","03.30.18 12:39",1911.51745605469,2.26284790039063
"1800082900B100","1800082900Y100",SPCC,3.5,0.8,1285,1808,20539.3026174042,"30.03.18 12:25","30.03.18 14:04","03.30.18 12:47",2018.88366699219,2.79693603515625
"1800087800B100","1800087800Y100",SPCC,3,0.7,1285,1811,20105.8597940235,"31.03.18 11:31","31.03.18 13:34","03.31.18 11:52",2496.09033203125,1.80477905273438
"1800090700B100","1800090700Y100",SPCC,3.5,0.8,1285,1811,20397.5538478668,"31.03.18 12:56","31.03.18 14:52","03.31.18 13:14",1912.77893066406,2.14150238037109
"1800094900B100","1800094900Y100",SPCC,4.5,1,1285,1802,20120.1131713161,"31.03.18 13:26","31.03.18 14:56","03.31.18 13:45",1730.94580078125,1.65189361572266
"1800086700B100","1800086700Y100",SPCC,4.5,1,1285,1788,19988.4048051097,"31.03.18 06:27","31.03.18 13:09","03.31.18 09:48",1434.98388671875,1.23567199707031
"1800093900B1R0","1800093900Y100",SPCC,3,0.7,1285,1810,1543.20224146184,"31.03.18 15:04","01.04.18 06:26","03.31.18 15:20",0,0
"1800088200B100","1800088200Y100",SPCC,3.5,0.8,1285,1816,19671.1827458903,"31.03.18 12:11","31.03.18 14:12","03.31.18 12:35",1994.98132324219,2.64292907714844
"1800090800B100","1800090800Y100",SPCC,3.5,0.8,1285,1810,20551.340601503,"31.03.18 13:06","31.03.18 16:11","03.31.18 13:22",2307.11645507813,3.49638366699219
